CID,Figure
ITEOO_1,TiO2-stability-RACB-PSPW91AM05
ITEOO_2,TiO2-stability-RACB-PSPW91AM05
ITEOO_3,TiO2-stability-RACB-PSPW91AM05
ITEOO_4,TiO2-stability-RACB-PSPW91AM05
ITEOO_5,TiO2-stability-RACB-PSPW91AM05
ITEOO_6,TiO2-stability-RACB-PSPW91AM05
ITEOO_7,TiO2-stability-RACB-PSPW91AM05
ITEOO_8,TiO2-stability-RACB-PSPW91AM05
ITEOO_9,TiO2-stability-RACB-PSPW91AM05
ITEOO_10,TiO2-stability-RACB-PSPW91AM05
ITEOO_11,TiO2-stability-RACB-PSPW91AM05
ITEOO_12,TiO2-stability-RACB-PSPW91AM05
ITEOO_13,TiO2-stability-RACB-PSPW91AM05
ITEOO_14,TiO2-stability-RACB-PSPW91AM05
ITEOO_15,TiO2-stability-RACB-PSPW91AM05
ITEOO_16,TiO2-stability-RACB-PSPW91AM05
ITEOO_17,TiO2-stability-RACB-PSPW91AM05
ITEOO_18,TiO2-stability-RACB-PSPW91AM05
ITEOO_19,TiO2-stability-RACB-PSPW91AM05
ITEOO_20,TiO2-stability-RACB-PSPW91AM05
ITEOO_21,TiO2-stability-RACB-PSPW91AM05
ITEOO_22,TiO2-stability-RACB-PSPW91AM05
ITEOO_23,TiO2-stability-RACB-PSPW91AM05
ITEOO_24,TiO2-stability-RACB-PSPW91AM05
ITEOO_25,TiO2-stability-RACB-PSPW91AM05
ITEOO_26,TiO2-stability-RACB-PSPW91AM05
ITEOO_27,TiO2-stability-RACB-PSPW91AM05
ITEOO_28,TiO2-stability-RACB-PSPW91AM05
ITEOO_29,TiO2-stability-RACB-PSPW91AM05
ITEOO_30,TiO2-stability-RACB-PSPW91AM05
ITEOO_31,TiO2-stability-RACB-PSPW91AM05
ITEOO_32,TiO2-stability-RACB-PSPW91AM05
ITEOO_33,TiO2-stability-RACB-PSPW91AM05
ITEOO_34,TiO2-stability-RACB-PSPW91AM05
ITEOO_35,TiO2-stability-RACB-PSPW91AM05
ITEOO_36,TiO2-stability-RACB-PSPW91AM05
ITEOO_37,TiO2-stability-RACB-PSPW91AM05
ITEOO_38,TiO2-stability-RACB-PSPW91AM05
ITEOO_39,TiO2-stability-RACB-PSPW91AM05
ITEOO_40,TiO2-stability-RACB-PSPW91AM05
ITEOO_41,TiO2-stability-RACB-PSPW91AM05
ITEOO_42,TiO2-stability-RACB-PSPW91AM05
ITEOO_43,TiO2-stability-RACB-PSPW91AM05
ITEOO_44,TiO2-stability-RACB-PSPW91AM05
ITEOO_45,TiO2-stability-RACB-PSPW91AM05
ITEOO_46,TiO2-stability-RACB-PSPW91AM05
ITEOO_47,TiO2-stability-RACB-PSPW91AM05
ITEOO_48,TiO2-stability-RACB-PSPW91AM05
ITEOO_49,TiO2-stability-RACB-PSPW91AM05
ITEOO_50,TiO2-stability-RACB-PSPW91AM05
ITEOO_51,TiO2-stability-RACB-PSPW91AM05
ITEOO_52,TiO2-stability-RACB-PSPW91AM05
ITEOO_53,TiO2-stability-RACB-PSPW91AM05
ITEOO_54,TiO2-stability-RACB-PSPW91AM05
ITEOO_55,TiO2-stability-RACB-PSPW91AM05
ITEOO_56,TiO2-stability-RACB-PSPW91AM05
ITEOO_57,TiO2-stability-RACB-PSPW91AM05
ITEOO_58,TiO2-stability-RACB-PSPW91AM05
ITEOO_59,TiO2-stability-RACB-PSPW91AM05
ITEOO_60,TiO2-stability-RACB-PSPW91AM05
ITEOO_61,TiO2-stability-RACB-PSPW91AM05
ITEOO_62,TiO2-stability-RACB-PSPW91AM05
ITEOO_63,TiO2-stability-RACB-PSPW91AM05
ITEOO_64,TiO2-stability-RACB-PSPW91AM05
ITEOO_65,TiO2-stability-RACB-PSPW91AM05
ITEOO_66,TiO2-stability-RACB-PSPW91AM05
ITEOO_67,TiO2-stability-RACB-PSPW91AM05
ITEOO_68,TiO2-stability-RACB-PSPW91AM05
ITEOO_69,TiO2-stability-RACB-PSPW91AM05
ITEOO_70,TiO2-stability-RACB-PSPW91AM05
ITEOO_71,TiO2-stability-RACB-PSPW91AM05
ITEOO_72,TiO2-stability-RACB-PSPW91AM05
ITEOO_73,TiO2-stability-RACB-PSPW91AM05
ITEOO_74,TiO2-stability-RACB-PSPW91AM05
ITEOO_75,TiO2-stability-RACB-PSPW91AM05
ITEOO_76,TiO2-stability-RACB-PSPW91AM05
ITEOO_77,TiO2-stability-RACB-PSPW91AM05
ITEOO_78,TiO2-stability-RACB-PBELDAPBEs
ITEOO_79,TiO2-stability-RACB-PBELDAPBEs
ITEOO_80,TiO2-stability-RACB-PBELDAPBEs
ITEOO_81,TiO2-stability-RACB-PBELDAPBEs
ITEOO_82,TiO2-stability-RACB-PBELDAPBEs
ITEOO_83,TiO2-stability-RACB-PBELDAPBEs
ITEOO_84,TiO2-stability-RACB-PBELDAPBEs
ITEOO_85,TiO2-stability-RACB-PBELDAPBEs
ITEOO_86,TiO2-stability-RACB-PBELDAPBEs
ITEOO_87,TiO2-stability-RACB-PBELDAPBEs
ITEOO_88,TiO2-stability-RACB-PBELDAPBEs
ITEOO_89,TiO2-stability-RACB-PBELDAPBEs
ITEOO_90,TiO2-stability-RACB-PBELDAPBEs
ITEOO_91,TiO2-stability-RACB-PBELDAPBEs
ITEOO_92,TiO2-stability-RACB-PBELDAPBEs
ITEOO_93,TiO2-stability-RACB-PBELDAPBEs
ITEOO_94,TiO2-stability-RACB-PBELDAPBEs
ITEOO_95,TiO2-stability-RACB-PBELDAPBEs
ITEOO_96,TiO2-stability-RACB-PBELDAPBEs
ITEOO_97,TiO2-stability-RACB-PBELDAPBEs
ITEOO_98,TiO2-stability-RACB-PBELDAPBEs
ITEOO_99,TiO2-stability-RACB-PBELDAPBEs
ITEOO_100,TiO2-stability-RACB-PBELDAPBEs
ITEOO_101,TiO2-stability-RACB-PBELDAPBEs
ITEOO_102,TiO2-stability-RACB-PBELDAPBEs
ITEOO_103,TiO2-stability-RACB-PBELDAPBEs
ITEOO_104,TiO2-stability-RACB-PBELDAPBEs
ITEOO_105,TiO2-stability-RACB-PBELDAPBEs
ITEOO_106,TiO2-stability-RACB-pvpvs
ITEOO_107,TiO2-stability-RACB-pvpvs
ITEOO_108,TiO2-stability-RACB-pvpvs
ITEOO_109,TiO2-stability-RACB-pvpvs
ITEOO_110,TiO2-stability-RACB-pvpvs
ITEOO_111,TiO2-stability-RACB-pvpvs
ITEOO_112,TiO2-stability-RACB-pvpvs
ITEOO_113,TiO2-stability-RACB-pvpvs
ITEOO_114,TiO2-stability-RACB-pvpvs
ITEOO_115,TiO2-stability-RACB-pvpvs
ITEOO_116,TiO2-stability-RACB-pvpvs
ITEOO_117,TiO2-stability-RACB-pvpvs
ITEOO_118,TiO2-stability-RACB-pvpvs
ITEOO_119,TiO2-stability-RACB-pvpvs
ITEOO_120,TiO2-stability-RACB-pvpvs
ITEOO_121,TiO2-stability-RACB-pvpvs
ITEOO_122,TiO2-stability-RACB-pvpvs
ITEOO_123,TiO2-stability-RACB-pvpvs
ITEOO_124,TiO2-stability-RACB-pvpvs
ITEOO_125,TiO2-stability-RACB-pvpvs
ITEOO_126,TiO2-stability-RACB-pvpvs
ITEOO_127,TiO2-stability-RACB-pvpvs
ITEOO_128,TiO2-stability-RACB-pvpvs
ITEOO_129,TiO2-stability-RACB-pvpvs
ITEOO_130,TiO2-stability-RACB-pvpvs
ITEOO_131,TiO2-stability-RACB-pvpvs
ITEOO_132,TiO2-stability-RACB-pvpvs
ITEOO_133,TiO2-stability-RACB-pvpvs
ITEOO_134,TiO2-stability-RACB-pvpvs
ITEOO_135,TiO2-stability-RACB-pvpvs
ITEOO_136,TiO2-stability-RACB-pvpvs
ITEOO_137,TiO2-stability-RACB-pvpvs
ITEOO_138,TiO2-stability-RACB-pvpvs
ITEOO_139,TiO2-stability-RACB-pvpvs
ITEOO_140,TiO2-stability-RACB-pvpvs
ITEOO_141,TiO2-stability-RACB-pvpvs
ITEOO_142,TiO2-stability-RACB-pvpvs
ITEOO_143,TiO2-stability-RACB-pvpvs
ITEOO_144,TiO2-stability-RACB-pvpvs
ITEOO_145,TiO2-stability-RACB-pvpvs
ITEOO_146,TiO2-stability-RACB-pvpvs
ITEOO_147,TiO2-stability-RACB-pvpvs
ITEOO_148,TiO2-stability-RACB-pvpvs
ITEOO_149,TiO2-stability-RACB-pvpvs
ITEOO_150,TiO2-stability-RACB-pvpvs
ITEOO_151,TiO2-stability-RACB-pvpvs
ITEOO_152,TiO2-stability-RACB-pvpvs
ITEOO_153,TiO2-stability-RACB-pvpvs
ITEOO_154,TiO2-stability-RACB-pvpvs
ITEOO_155,TiO2-stability-RACB-pvpvs
ITEOO_156,TiO2-stability-RACB-pvpvs
ITEOO_157,TiO2-stability-RACB-pvpvs
ITEOO_158,TiO2-stability-RACB-pvpvs
ITEOO_159,TiO2-stability-RACB-pvpvs
ITEOO_160,TiO2-stability-RACB-pvpvs
ITEOO_161,TiO2-stability-RACB-pvpvs
ITEOO_162,TiO2-stability-RACB-pvpvs
ITEOO_163,TiO2-stability-RACB-pvpvs
ITEOO_164,TiO2-stability-RACB-pvpvs
ITEOO_165,TiO2-stability-RACB-pvpvs
ITEOO_166,TiO2-stability-RACB-pvpvs
ITEOO_167,TiO2-stability-RACB-pvpvs
ITEOO_168,TiO2-stability-RACB-pvpvs
ITEOO_169,TiO2-stability-RACB-pvpvs
ITEOO_170,TiO2-stability-RACB-pvpvs
ITEOO_171,TiO2-stability-RACB-pvpvs
ITEOO_172,TiO2-stability-RACB-pvpvs
ITEOO_173,TiO2-stability-RACB-pvpvs
ITEOO_174,TiO2-stability-RACB-pvpvs
ITEOO_175,TiO2-stability-RACB-pvpvs
ITEOO_176,TiO2-stability-RACB-pvpvs
ITEOO_177,TiO2-stability-RACB-pvpvs
ITEOO_178,TiO2-stability-RACB-pvpvs
ITEOO_179,TiO2-stability-RACB-pvpvs
ITEOO_180,TiO2-stability-RACB-pvpvs
ITEOO_181,TiO2-stability-RACB-pvpvs
ITEOO_182,TiO2-stability-RACB-pvpvs
ITEOO_183,TiO2-stability-RACB-pvpvs
ITEOO_184,TiO2-stability-RACB-pvpvs
ITEOO_185,TiO2-stability-RACB-pvpvs
ITEOO_186,TiO2-stability-RACB-svsvs
ITEOO_187,TiO2-stability-RACB-svsvs
ITEOO_188,TiO2-stability-RACB-svsvs
ITEOO_189,TiO2-stability-RACB-svsvs
ITEOO_190,TiO2-stability-RACB-svsvs
ITEOO_191,TiO2-stability-RACB-svsvs
ITEOO_192,TiO2-stability-RACB-svsvs
ITEOO_193,TiO2-stability-RACB-svsvs
ITEOO_194,TiO2-stability-RACB-svsvs
ITEOO_195,TiO2-stability-RACB-svsvs
ITEOO_196,TiO2-stability-RACB-svsvs
ITEOO_197,TiO2-stability-RACB-svsvs
ITEOO_198,TiO2-stability-RACB-svsvs
ITEOO_199,TiO2-stability-RACB-svsvs
ITEOO_200,TiO2-stability-RACB-svsvs
ITEOO_201,TiO2-stability-RACB-svsvs
ITEOO_202,TiO2-stability-RACB-svsvs
ITEOO_203,TiO2-stability-RACB-svsvs
ITEOO_204,TiO2-stability-RACB-svsvs
ITEOO_205,TiO2-stability-RACB-svsvs
ITEOO_206,TiO2-stability-RACB-svsvs
ITEOO_207,TiO2-stability-RACB-svsvs
ITEOO_208,TiO2-stability-RACB-svsvs
ITEOO_209,TiO2-stability-RACB-svsvs
ITEOO_210,TiO2-stability-RACB-svsvs
ITEOO_211,TiO2-stability-RACB-svsvs
ITEOO_212,TiO2-stability-RACB-svsvs
ITEOO_213,TiO2-stability-RACB-svsvs
ITEOO_214,TiO2-stability-RACB-svsvs
ITEOO_215,TiO2-stability-RACB-svsvs
