FractionHF,VOpt,CID,EOpt
0.5,66.79590458,ITEOO-488,-86.56995578
0.75,65.42644697,ITEOO-489,-104.4720455
0.5,60.70244736,ITEOO-490,-86.50217973
0.875,58.80442552,ITEOO-491,-113.7146742
0.95,58.43367629,ITEOO-492,-119.3265736
0.75,59.32320802,ITEOO-493,-104.4819425
0.25,68.58777857,ITEOO-494,-69.37662205
1,68.37261757,ITEOO-495,-115.8727273
0.25,62.39535934,ITEOO-496,-69.24961249
1,62.05371804,ITEOO-497,-115.7941919
0.875,64.88252632,ITEOO-498,-113.6616887
0.825,65.07881664,ITEOO-499,-109.9676452
0.95,64.48991271,ITEOO-500,-119.2452356
0.825,59.03136738,ITEOO-501,-110.0037479
0.25,122.6133806,ITEOO-502,-129.9948842
0.75,65.62628393,ITEOO-503,-91.79348249
0.5,66.96336855,ITEOO-504,-78.12489083
0.5,60.82964034,ITEOO-505,-78.04558558
0.825,59.1861258,ITEOO-506,-96.03134946
0.875,65.10694486,ITEOO-507,-98.8654702
1,62.25839152,ITEOO-508,-98.87716026
0.75,59.53984735,ITEOO-509,-91.78241195
0.825,65.31507535,ITEOO-510,-96.01867943
0.875,58.95424767,ITEOO-511,-98.89343852
0.95,58.60614296,ITEOO-512,-103.2314407
1,68.70663567,ITEOO-513,-98.97894894
0.95,64.78461413,ITEOO-514,-103.1785381
0.25,62.47439423,ITEOO-515,-65.02861421
0.25,68.70508721,ITEOO-516,-65.16016162
0.975,60.26,ITEOO-517,-104.640319
0.99,60.26,ITEOO-518,-105.513947
0.25,62.4673841287,ITEOO-522,-65.0001049927
0.25,68.704760901,ITEOO-523,-65.1503185389
