PseudoB,PseudoO,Functional,Software,Method,CID,MID,SID
PAW-Ti,PAW-O,PS,VASP,E,ITEOO-1,1,4
PAW-Ti,PAW-O,PS,VASP,E,ITEOO-2,1,1
PAW-Ti,PAW-O,PS,VASP,E,ITEOO-3,1,1
PAW-Ti,PAW-O,PS,VASP,E,ITEOO-4,1,4
PAW-Ti,PAW-O,PS,VASP,E,ITEOO-5,1,4
PAW-Ti,PAW-O,PS,VASP,E,ITEOO-6,1,3
PAW-Ti,PAW-O,PS,VASP,E,ITEOO-7,1,3
PAW-Ti,PAW-O,PS,VASP,E,ITEOO-8,1,4
PAW-Ti,PAW-O,PS,VASP,E,ITEOO-9,1,2
PAW-Ti,PAW-O,PS,VASP,E,ITEOO-10,1,3
PAW-Ti,PAW-O,PS,VASP,E,ITEOO-11,1,2
PAW-Ti,PAW-O,PS,VASP,E,ITEOO-12,1,1
PAW-Ti,PAW-O,PS,VASP,E,ITEOO-13,1,1
PAW-Ti,PAW-O,PS,VASP,E,ITEOO-14,1,3
PAW-Ti,PAW-O,PS,VASP,E,ITEOO-15,1,4
PAW-Ti,PAW-O,PS,VASP,E,ITEOO-16,1,4
PAW-Ti,PAW-O,PS,VASP,E,ITEOO-17,1,2
PAW-Ti,PAW-O,PS,VASP,E,ITEOO-18,1,2
PAW-Ti,PAW-O,PS,VASP,E,ITEOO-19,1,2
PAW-Ti,PAW-O,PS,VASP,E,ITEOO-20,1,3
PAW-Ti,PAW-O,PS,VASP,E,ITEOO-21,1,2
PAW-Ti,PAW-O,PS,VASP,E,ITEOO-22,1,1
PAW-Ti,PAW-O,PS,VASP,E,ITEOO-23,1,3
PAW-Ti,PAW-O,PS,VASP,E,ITEOO-24,1,3
PAW-Ti,PAW-O,PS,VASP,E,ITEOO-25,1,1
PAW-Ti,PAW-O,PS,VASP,E,ITEOO-26,1,2
PAW-Ti,PAW-O,PS,VASP,E,ITEOO-27,1,4
PAW-Ti,PAW-O,PS,VASP,E,ITEOO-28,1,1
PAW-Ti,PAW-O,PW91,VASP,E,ITEOO-29,1,4
PAW-Ti,PAW-O,PW91,VASP,E,ITEOO-30,1,2
PAW-Ti,PAW-O,PW91,VASP,E,ITEOO-31,1,1
PAW-Ti,PAW-O,PW91,VASP,E,ITEOO-32,1,2
PAW-Ti,PAW-O,PW91,VASP,E,ITEOO-33,1,3
PAW-Ti,PAW-O,PW91,VASP,E,ITEOO-34,1,3
PAW-Ti,PAW-O,PW91,VASP,E,ITEOO-35,1,4
PAW-Ti,PAW-O,PW91,VASP,E,ITEOO-36,1,3
PAW-Ti,PAW-O,PW91,VASP,E,ITEOO-37,1,4
PAW-Ti,PAW-O,PW91,VASP,E,ITEOO-38,1,1
PAW-Ti,PAW-O,PW91,VASP,E,ITEOO-39,1,2
PAW-Ti,PAW-O,PW91,VASP,E,ITEOO-40,1,2
PAW-Ti,PAW-O,PW91,VASP,E,ITEOO-41,1,3
PAW-Ti,PAW-O,PW91,VASP,E,ITEOO-42,1,1
PAW-Ti,PAW-O,PW91,VASP,E,ITEOO-43,1,4
PAW-Ti,PAW-O,PW91,VASP,E,ITEOO-44,1,1
PAW-Ti,PAW-O,PW91,VASP,E,ITEOO-45,1,1
PAW-Ti,PAW-O,PW91,VASP,E,ITEOO-46,1,2
PAW-Ti,PAW-O,PW91,VASP,E,ITEOO-47,1,2
